# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "GCF_000203835.1_ASM20383v1_genomic_combined.gtf" "-s" "2" "-O" "-M" "--fraction" "-t" "transcript" "-g" "locus_tag" "--extraAttributes" "gene_name" "-o" "counts.txt" "--minOverlap" "10" "--fracOverlap" "0.9" "QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam" "QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam" "QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam" "QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam" "QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam" "QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam" "QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam" "QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam" "QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam" "QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam" "QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam" "QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam" "QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam" "QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam" "QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam" "QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam" "QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam" "QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	gene_name	QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam	QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam	QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam	QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam	QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam	QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam	QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam	QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam	QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam	QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam	QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam	QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam	QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam	QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam	QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam	QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam	QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam	QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam
SCO0026	NC_003888.3	23316	23831	+	516	NA	0	21	44	13	12	0	0	31	11	0	32	5	0	0	1	45	33	1
SCO0027	NC_003888.3	23977	24345	-	369	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0028	NC_003888.3	24378	24521	-	144	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0029	NC_003888.3	24644	24943	+	300	NA	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0
SCO0030	NC_003888.3	25251	25871	+	621	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0031	NC_003888.3	25843	26385	-	543	NA	0	17	26	6	7	0	0	38	12	0	26	8	0	0	2	57	18	0
SCO0033	NC_003888.3	26527	28773	-	2247	NA	0	637	839	242	171	0	0	825	401	0	986	287	0	0	45	2538	588	74
SCO0034	NC_003888.3	29040	29519	+	480	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SCO0035	NC_003888.3	29605	30054	-	450	NA	0	1	0	1	1	0	0	3	1	0	0	1	0	0	0	20	3	0
SCO0036	NC_003888.3	30116	30355	-	240	NA	0	8	1	0	2	0	0	4	4	0	5	0	0	0	0	14	5	0
SCO0037	NC_003888.3	30379	31131	-	753	NA	0	57	80	16	15	0	0	65	11	0	34	14	0	0	3	118	24	9
SCO0038	NC_003888.3	31146	31274	-	129	NA	0	88	200	17	45	0	0	93	28	0	42	21	0	0	5	195	54	24
SCO0039	NC_003888.3	31520	32137	+	618	NA	0	0	5	0	0	0	0	0	1	0	3	0	0	0	0	3	1	0
SCO0040	NC_003888.3	32134	33357	+	1224	NA	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
SCO0041	NC_003888.3	33360	33845	+	486	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0042	NC_003888.3	33842	34777	+	936	NA	0	0	3	0	0	0	0	2	0	0	1	0	0	0	1	1	1	0
SCO0043	NC_003888.3	35179	35907	-	729	NA	0	16	18	4	3	0	0	7	8	0	13	4	0	0	0	43	14	3
SCO0044	NC_003888.3	36006	36674	-	669	NA	0	1	1	3	0	0	0	6	1	0	2	1	0	0	0	2	0	3
SCO0045	NC_003888.3	36689	36817	-	129	NA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0046	NC_003888.3	36816	37478	+	663	NA	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	7	1	0
SCO0047	NC_003888.3	37614	38768	-	1155	NA	0	14	18	7	7	0	0	19	16	0	17	6	0	0	1	42	16	3
SCO0048	NC_003888.3	39107	39490	-	384	NA	0	1	14	1	0	0	0	7	2	0	12	0	0	0	0	15	5	0
SCO0049	NC_003888.3	39489	39812	+	324	NA	0	6	4	3	2	0	0	21	5	0	15	4	0	0	0	43	21	1
SCO0050	NC_003888.3	39877	40212	+	336	NA	0	12	22	6	10	0	0	38	21	0	14	9	0	0	1	40	15	9
SCO0055	NC_003888.3	42171	43682	-	1512	NA	0	120	263	81	54	0	0	237	55	0	220	38	0	0	9	354	140	27
SCO0056	NC_003888.3	43768	43857	+	90	NA	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	4	0	0
SCO0057	NC_003888.3	43950	44090	+	141	NA	0	8	13	3	1	0	0	5	2	0	8	3	0	0	1	26	6	2
SCO0058	NC_003888.3	44253	44975	+	723	NA	0	109	193	45	47	0	0	184	83	0	147	40	0	0	20	360	120	17
SCO0059	NC_003888.3	45267	46073	+	807	NA	0	12	22	8	10	0	0	26	11	0	27	8	0	0	0	75	10	2
SCO0060	NC_003888.3	46064	46201	+	138	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SCO0061	NC_003888.3	46430	47734	-	1305	NA	0	15	31	10	5	0	0	33	10	0	34	6	0	0	2	121	38	0
SCO0062	NC_003888.3	47789	48892	-	1104	NA	0	39	75	19	20	0	0	78	25	0	69	19	0	0	2	187	38	8
SCO0063	NC_003888.3	48889	49824	-	936	NA	0	5	23	5	0	0	0	12	1	0	12	4	0	0	1	33	15	6
SCO0064	NC_003888.3	49821	51539	-	1719	NA	0	0	4	0	4	0	0	3	3	0	0	1	0	0	0	3	5	0
SCO0065	NC_003888.3	51831	53144	+	1314	NA	0	0	2	0	0	0	0	1	0	0	1	2	0	0	0	8	7	0
SCO0066	NC_003888.3	53141	54100	+	960	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0
SCO0067	NC_003888.3	54097	54918	+	822	NA	0	1	7	0	0	0	0	0	2	0	7	0	0	0	0	16	1	0
SCO0068	NC_003888.3	54968	56173	+	1206	NA	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0
SCO0069	NC_003888.3	56225	59383	+	3159	NA	0	5	5	0	0	0	0	4	0	0	3	0	0	0	0	7	1	0
SCO0070	NC_003888.3	59558	60241	+	684	NA	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
SCO0071	NC_003888.3	60069	60275	-	207	NA	0	3	2	5	0	0	0	3	0	0	2	0	0	0	0	10	0	0
SCO0072	NC_003888.3	60740	64093	-	3354	NA	0	128	189	46	64	0	0	202	99	0	317	51	0	0	17	788	192	34
SCO0073	NC_003888.3	64605	64925	+	321	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
SCO0074	NC_003888.3	64994	65092	+	99	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0075	NC_003888.3	65092	65679	+	588	NA	0	18	8	6	0	0	0	24	8	0	15	6	0	0	4	37	20	7
SCO0079	NC_003888.3	66688	67911	-	1224	NA	0	37	46	5	9	0	0	52	25	0	38	6	0	0	1	109	20	8
SCO0080	NC_003888.3	68372	68887	+	516	NA	0	54	121	25	31	0	0	107	52	0	59	19	0	0	7	198	74	20
SCO0083	NC_003888.3	69799	70647	+	849	NA	0	9	2	6	0	0	0	11	0	0	15	3	0	0	0	32	5	2
SCO0084	NC_003888.3	70777	71235	+	459	NA	0	24	79	24	19	0	0	42	20	0	42	9	0	0	3	97	44	8
SCO0085	NC_003888.3	71648	72139	-	492	NA	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	4	0	0
SCO0086	NC_003888.3	72159	73097	-	939	NA	0	6	16	4	3	0	0	16	7	0	18	2	0	0	1	43	23	1
SCO0087	NC_003888.3	73784	74833	-	1050	NA	0	13	21	9	9	0	0	11	12	0	22	9	0	0	2	52	20	0
SCO0088	NC_003888.3	74917	75876	-	960	NA	0	6	9	1	6	0	0	14	3	0	5	2	0	0	0	23	7	3
SCO0089	NC_003888.3	75856	76893	+	1038	NA	0	200	289	95	58	0	0	227	110	0	181	69	0	0	13	618	161	34
SCO0090	NC_003888.3	76895	77314	-	420	NA	0	2	1	0.40	0	0.20	0	5.20	0	0	4	0	0.60	0	0	8.20	4	2
SCO0091	NC_003888.3	77315	78271	+	957	NA	10.60	13.60	20.00	4.60	3.20	15.00	6.80	14.40	6.00	12.20	12.00	5.80	19.20	8.40	0.80	26.20	9.20	2.00
SCO0095	NC_003888.3	78983	79702	-	720	NA	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
SCO0096	NC_003888.3	79839	80690	-	852	NA	0	99	163	28	24	0	0	158	52	0	135	28	0	0	8	309	102	27
SCO0097	NC_003888.3	80845	81165	-	321	NA	0	92	116	49	36	0	0	157	57	0	135	23	0	0	13	221	91	24
SCO0098	NC_003888.3	81602	82441	-	840	NA	29.80	16.63	35.10	12.90	22.70	40.53	27.15	44.10	15.95	37.58	40.73	18.53	43.43	29.70	2.40	157.55	39.20	6.13
SCO0101	NC_003888.3	83516	83992	-	477	NA	0	71	75	15	15	0	0	87	42	0	84	18	0	0	2	126	54	11
SCO0102	NC_003888.3	84893	85339	+	447	NA	0	14	63	8	17	0	0	17	19	0	35	14	0	0	1	110	13	4
SCO0103	NC_003888.3	85336	86643	+	1308	NA	0	19	46	16	16	0	0	32	15	0	53	11	0	0	1	158	34	7
SCO0104	NC_003888.3	86640	87311	+	672	NA	0	4	10	3	11	0	0	7	6	0	16	6	0	0	1	72	17	1
SCO0105	NC_003888.3	87907	88632	-	726	NA	0	35	67	41	35	0	0	107	41	0	115	46	0	0	1	164	91	4
SCO0106	NC_003888.3	89073	89465	+	393	NA	0	14	17	6	1	0	0	9	1	0	5	0	0	0	1	3	3	3
SCO0107	NC_003888.3	89486	90043	-	558	NA	0	73	92	38	36	0	0	207	73	0	149	43	0	0	3	281	85	27
SCO0108	NC_003888.3	90242	90391	+	150	NA	0	8	0	2	0	0	0	14	3	0	12	1	0	0	0	28	2	0
SCO0109	NC_003888.3	90395	90865	-	471	NA	0	4	22	1	3	0	0	15	14	0	16	4	0	0	0	54	11	1
SCO0110	NC_003888.3	90951	91790	-	840	NA	0	50	78	16	23	0	0	86	41	0	170	22	0	0	4	370	113	15
SCO0111	NC_003888.3	91977	92729	+	753	NA	0	3	1	0	0	0	0	9	0	0	0	0	0	0	0	7	0	2
SCO0112	NC_003888.3	92773	92928	-	156	NA	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
SCO0116	NC_003888.3	94306	94872	-	567	NA	0	14	33	1	3	0	0	22	10	0	20	4	0	0	1	37	12	2
SCO0117	NC_003888.3	94989	95681	+	693	NA	0	0	2	0	0	0	0	4	5	0	2	2	0	0	0	3	6	0
SCO0118	NC_003888.3	95989	97518	+	1530	NA	0	190	254	104	60	0	0	222	100	0	292	68	0	0	22	801	229	19
SCO0119	NC_003888.3	97760	98281	-	522	NA	0	13	17	4	2	0	0	29	4	0	50	4	0	0	1	34	26	0
SCO0120	NC_003888.3	98463	99338	-	876	NA	0	2	14	7	1	0	0	12	8	0	28	6	0	0	0	57	13	0
SCO0121	NC_003888.3	99335	99949	-	615	NA	0	32	64	11	5	0	0	41	18	0	57	15	0	0	1	136	36	7
SCO0122	NC_003888.3	100190	101566	+	1377	NA	0	1	5	0	1	0	0	4	4	0	4	2	0	0	0	1	0	0
SCO0123	NC_003888.3	101656	103002	-	1347	NA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SCO0124	NC_003888.3	103628	104989	+	1362	NA	0	1	1	0	0	0	0	3	0	0	5	1	0	0	0	5	1	0
SCO0125	NC_003888.3	105057	106640	+	1584	NA	0	3	1	0	2	0	0	12	4	0	1	0	0	0	0	2	0	0
SCO0126	NC_003888.3	106637	112885	+	6249	NA	0	5	10	7	0	0	0	3	4	0	5	0	0	0	0	19	7	3
SCO0127	NC_003888.3	112932	119654	+	6723	NA	0	13	11	19	1	0	0	22	5	0	5	6	0	0	0	17	9	0
SCO0128	NC_003888.3	119651	119833	+	183	NA	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
SCO0129	NC_003888.3	119841	120215	+	375	NA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SCO0130	NC_003888.3	120457	121371	+	915	NA	0	17	12	5	7	0	0	16	10	0	11	6	0	0	1	12	5	0
SCO0131	NC_003888.3	121617	122456	-	840	NA	0	1211	1554	705	403	0	0	3158	842	0	4014	634	0	0	84	8216	2715	165
SCO0132	NC_003888.3	122743	125502	+	2760	NA	0	158	157	26	55	0	0	279	93	0	250	59	0	0	4	405	204	26
SCO0133	NC_003888.3	125625	126005	-	381	NA	0	5	7	1	0	0	0	3	0	0	0	0	0	0	0	7	1	0
SCO0134	NC_003888.3	126989	127294	-	306	NA	0	3	0	0	2	0	0	5	3	0	1	3	0	0	0	10	3	1
SCO0135	NC_003888.3	127571	128290	+	720	NA	0	9	6	5	3	0	0	32	5	0	28	6	0	0	0	53	17	0
SCO0136	NC_003888.3	128634	130184	-	1551	ulaA	0	23	35	12	11	0	0	53	10	0	37	14	0	0	3	118	33	2
SCO0137	NC_003888.3	130201	131001	-	801	NA	0	23	31	11	7	0	0	64	20	0	54	25	0	0	2	118	37	19
SCO0138	NC_003888.3	131523	132296	+	774	NA	0	1	4	2	0	0	0	1	0	0	2	0	0	0	0	8	2	0
SCO0139	NC_003888.3	132327	132647	+	321	NA	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0
SCO0140	NC_003888.3	132693	133520	+	828	NA	0	3	13	0	2	0	0	3	2	0	5	5	0	0	0	8	4	0
SCO0141	NC_003888.3	133570	134121	-	552	NA	0	83	29	10	7	0	0	58	26	0	61	9	0	0	0	127	30	6
SCO0142	NC_003888.3	134295	136100	-	1806	NA	0	20	27	7	2	0	0	11	7	0	18	7	0	0	0	41	16	0
SCO0143	NC_003888.3	136647	137183	+	537	NA	0	7	11	7	1	0	0	4	0	0	6	3	0	0	2	9	9	0
SCO0144	NC_003888.3	137197	137556	+	360	NA	0	2	5	2	3	0	0	9	0	0	4	2	0	0	1	9	3	0
SCO0145	NC_003888.3	137561	138589	+	1029	NA	0	33	43	11	17	0	0	34	20	0	43	10	0	0	2	113	39	4
SCO0147	NC_003888.3	138976	139467	+	492	NA	0	11	23	4	5	0	0	10	4	0	17	5	0	0	1	27	9	4
SCO0148	NC_003888.3	139467	139712	+	246	NA	0	4	14	1	1	0	0	3	0	0	6	2	0	0	0	3	3	0
SCO0149	NC_003888.3	139703	140299	-	597	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0150	NC_003888.3	140368	140862	+	495	NA	0	7	7	4	1	0	0	1	3	0	9	2	0	0	2	6	3	0
SCO0151	NC_003888.3	141370	141708	+	339	NA	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	0	4
SCO0152	NC_003888.3	141705	143315	+	1611	NA	0	0	3	1	0	0	0	1	1	0	0	1	0	0	0	7	1	0
SCO0153	NC_003888.3	143776	144363	-	588	NA	0	5	5	5	2	0	0	16	1	0	16	6	0	0	0	31	8	6
SCO0154	NC_003888.3	144704	145366	-	663	NA	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	6	2	0
SCO0155	NC_003888.3	145499	146122	+	624	NA	0	26	44	11	4	0	0	41	29	0	17	11	0	0	4	47	21	9
SCO0156	NC_003888.3	146034	146351	-	318	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0157	NC_003888.3	146603	146980	+	378	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
SCO0158	NC_003888.3	146977	148206	+	1230	NA	0	9	4	6	1	0	0	18	4	0	16	2	0	0	0	43	5	3
SCO0159	NC_003888.3	148216	149184	+	969	NA	0	2	5	0	0	0	0	0	0	0	7	1	0	0	0	10	2	0
SCO0160	NC_003888.3	149508	150209	-	702	NA	0	4	3	0	1	0	0	1	1	0	4	1	0	0	0	17	1	0
SCO0161	NC_003888.3	150181	150525	-	345	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
SCO0162	NC_003888.3	150579	151571	+	993	NA	0	10	194	10	28	0	0	2	164	0	640	4	0	0	0	899	13	18
SCO0163	NC_003888.3	151749	153275	+	1527	NA	0	13	29	9	4	0	0	6	8	0	51	3	0	0	0	29	6	2
SCO0164	NC_003888.3	153398	155728	+	2331	NA	0	0	8	2	0	0	0	8	7	0	22	4	0	0	0	28	6	0
SCO0165	NC_003888.3	155707	156120	-	414	NA	0	27	56	19	8	0	0	49	21	0	82	18	0	0	5	127	20	14
SCO0166	NC_003888.3	156338	157141	+	804	NA	0	17	20	1	3	0	0	28	11	0	12	12	0	0	0	38	12	4
SCO0167	NC_003888.3	157189	158073	-	885	NA	0	0	75	1	11	0	0	7	82	0	292	6	0	0	0	451	25	31
SCO0168	NC_003888.3	158732	159304	+	573	NA	0	13	110	7	16	0	0	9	67	0	544	2	0	0	1	1040	34	27
SCO0169	NC_003888.3	159372	160025	+	654	NA	0	9	47	5	19	0	0	4	66	0	454	4	0	0	1	682	36	14
SCO0170	NC_003888.3	160356	161027	-	672	NA	0	15	171	18	36	0	0	45	101	0	551	18	0	0	3	1050	47	50
SCO0171	NC_003888.3	161237	162553	+	1317	NA	0	1	179	0	29	0	0	2	182	0	604	6	0	0	0	985	21	69
SCO0172	NC_003888.3	162661	163119	+	459	NA	0	2	9	0	0	0	0	1	5	0	28	0	0	0	0	41	1	6
SCO0173	NC_003888.3	163235	164017	-	783	NA	0	17	134	7	7	0	0	24	60	0	301	8	0	0	5	359	20	15
SCO0174	NC_003888.3	164023	164994	-	972	NA	0	1	89	0	14	0	0	8	72	0	317	2	0	0	0	399	17	24
SCO0175	NC_003888.3	165059	165406	-	348	NA	0	9	22	3	4	0	0	3	6	0	13	5	0	0	3	22	4	6
SCO0176	NC_003888.3	165460	165855	+	396	NA	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0
SCO0177	NC_003888.3	166033	166614	+	582	NA	0	3	88	6	7	0	0	2	81	0	259	4	0	0	0	258	6	17
SCO0178	NC_003888.3	166891	167337	+	447	NA	0	22	22	1	1	0	0	11	9	0	21	4	0	0	0	32	2	6
SCO0179	NC_003888.3	167444	168514	-	1071	NA	0	4	113	7	27	0	0	11	191	0	2284	2	0	0	0	363	44	68
SCO0180	NC_003888.3	168705	169556	-	852	NA	0	0	23	0	1	0	0	0	41	0	121	2	0	0	0	178	5	5
SCO0181	NC_003888.3	169584	170570	-	987	NA	0	9	135	0	16	0	0	6	204	0	390	3	0	0	0	554	39	31
